Label,VideoID,DurationSec,TotalComments,UniqueCorrelated,PctCorrelated,Engagement,TopTopicID,TopTopicCount,TopTopicAvgScore,TopTopicPct
Emb,s0dNRe0XWJ8,1016.741,290,28,0.09655172413793103,17.113502848808107,T1,25,81.2,0.08620689655172414
Emb,sF0KOVWj9p8,730.701,630,153,0.24285714285714285,51.731145844880466,T6,84,79.70238095238095,0.13333333333333333
Emb,sHwSIcIdeDI,503.76,38,1,0.02631578947368421,4.525964745116723,T1,1,80.0,0.02631578947368421
Emb,t4LPzGIr41c,678.761,344,41,0.11918604651162791,30.408346973382386,T4,26,79.42307692307692,0.0755813953488372
Emb,u40kX1DYKdA,458.421,268,74,0.27611940298507465,35.07692710412481,T1,67,81.49253731343283,0.25
Emb,U5cqrrhq9TA,685.361,1121,198,0.17662801070472792,98.13806154712626,T3,131,80.19083969465649,0.11685994647636039
Emb,w49SSxiPK_Q,236.161,118,1,0.00847457627118644,29.979547850830578,T1,3,86.66666666666667,0.025423728813559324
Emb,wmTlM5s2xTY,891.281,8,2,0.25,0.5385506927669277,T2,2,80.0,0.25
Emb,WoHjWZFTnpQ,651.466667,10,0,0.0,0.9209987715303934,None,0,0.0,0.0
Emb,WpE4mQegNLgESP32,0,20,7,0.35,20.0,T1,8,80.0,0.4
Emb,yPwYNUDkkZs,1189.621,329,48,0.1458966565349544,16.593520121114203,T1,33,81.36363636363636,0.10030395136778116
Emb,YQ8ZhHBraZg,192.181,270,28,0.1037037037037037,84.29553389773181,T2,20,81.75,0.07407407407407407
Emb,YQeOmeMGpvE,790.261,125,34,0.272,9.490535405391384,T1,26,80.0,0.208
Emb,z58RORCUTao,612.041,1221,296,0.24242424242424243,119.6978633784338,T3,123,80.97560975609755,0.10073710073710074
Emb,ZOuZWE_tfgQ,969.341,406,109,0.2684729064039409,25.13047524039528,T1,89,80.1685393258427,0.21921182266009853
Emb,zZE4AejgDOA,584.561,1,1,1.0,0.10264112727328713,T1,1,80.0,1.0
Emb,_HHxV-7alwE,2660.021,305,66,0.21639344262295082,6.879644935133971,T1,61,81.14754098360656,0.2
